Date : 2025-08-18 16:46:31
Directory : d:\TusukaReact\TusukaWebsiteCLientOfficial
Total : 148 files,  23028 codes, 2313 comments, 1751 blanks, all 27092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\Components\Admin\ExplorePlantComponent\Admin                                                                  |         12 |      2,586 |        290 |        234 |      3,110 |
| src\Components\Admin\LabComponents                                                                                |          6 |      1,666 |         86 |        165 |      1,917 |
| src\Components\Admin\types                                                                                        |          6 |        248 |          7 |         35 |        290 |
| src\Components\CorePointComponent                                                                                 |          3 |        431 |         13 |         37 |        481 |
| src\Components\EventsMediaComponent                                                                               |          4 |        311 |          7 |         16 |        334 |
| src\Components\ExplorePlantComponent                                                                              |          4 |        356 |        231 |         57 |        644 |
| src\Components\Outlet                                                                                             |          3 |        283 |         19 |         31 |        333 |
| src\Components\about                                                                                              |         13 |      1,586 |        451 |        182 |      2,219 |
| src\Context                                                                                                       |          1 |        112 |          2 |         18 |        132 |
| src\Pages                                                                                                         |         23 |      2,601 |        747 |        355 |      3,703 |
| src\Pages (Files)                                                                                                 |          4 |        454 |         14 |         55 |        523 |
| src\Pages\About                                                                                                   |          5 |        460 |        442 |         97 |        999 |
| src\Pages\Admin                                                                                                   |         10 |      1,360 |         55 |        155 |      1,570 |
| src\Pages\Admin\AdminAbout                                                                                        |          1 |         14 |          0 |          3 |         17 |
| src\Pages\Admin\AdminExplorePlants                                                                                |          1 |        175 |          2 |         21 |        198 |
| src\Pages\Admin\AdminJobs                                                                                         |          1 |        364 |          2 |         39 |        405 |
| src\Pages\Admin\Dashboard                                                                                         |          1 |          7 |          0 |          1 |          8 |
| src\Pages\Admin\DirectorsInfo                                                                                     |          1 |        379 |         29 |         25 |        433 |
| src\Pages\Admin\Laboratory                                                                                        |          4 |        269 |         20 |         56 |        345 |
| src\Pages\Admin\Login                                                                                             |          1 |        152 |          2 |         10 |        164 |
| src\Pages\EventsMedia                                                                                             |          1 |         11 |          9 |          4 |         24 |
| src\Pages\ExplorePlants                                                                                           |          3 |        316 |        227 |         44 |        587 |
| src\Routes                                                                                                        |          2 |         37 |          3 |          7 |         47 |
| src\assets                                                                                                        |          2 |        107 |          0 |          0 |        107 |
| src\assets (Files)                                                                                                |          1 |          1 |          0 |          0 |          1 |
| src\assets\fonts                                                                                                  |          1 |        106 |          0 |          0 |        106 |
| src\hooks                                                                                                         |          4 |        245 |         80 |         49 |        374 |
| src\types                                                                                                         |          3 |        103 |          8 |          9 |        120 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                          | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\TusukaReact\TusukaWebsiteCLientOfficial\.env                                                                   | Properties         |          2 |          1 |          0 |          3 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\README.md                                                              | Markdown           |         48 |          0 |          9 |         57 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\eslint.config.js                                                       | JavaScript         |         27 |          0 |          2 |         29 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\index.html                                                             | HTML               |         12 |          0 |          2 |         14 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\package-lock.json                                                      | JSON               |      5,789 |          0 |          1 |      5,790 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\package.json                                                           | JSON               |         57 |          0 |          1 |         58 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\plan.tsx                                                               | TypeScript JSX     |          0 |         49 |          1 |         50 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\CoreComponent.json                                              | JSON               |        180 |          0 |          0 |        180 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\DirectorsData.json                                              | JSON               |        452 |          0 |          1 |        453 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\PlantsData.json                                                 | JSON               |        196 |          0 |          1 |        197 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\aboutData.json                                                  | JSON               |         85 |          0 |          4 |         89 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\companyReportData.json                                          | JSON               |        208 |          0 |         48 |        256 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\laboratoryData.json                                             | JSON               |        129 |          0 |          2 |        131 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\old.json                                                        | JSON               |        103 |          0 |          4 |        107 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\public\vite.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\App.css                                                            | PostCSS            |          0 |         42 |          1 |         43 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\App.tsx                                                            | TypeScript JSX     |         68 |         12 |         10 |         90 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\AboutCompany.tsx                            | TypeScript JSX     |        358 |          7 |         39 |        404 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\AboutHeroComponent.tsx                      | TypeScript JSX     |        289 |         10 |         35 |        334 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\AboutStoryComponent.tsx                     | TypeScript JSX     |        219 |          8 |         16 |        243 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\BankingPartnerModal.tsx                     | TypeScript JSX     |        122 |          3 |         11 |        136 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\BankingPartners.tsx                         | TypeScript JSX     |        109 |          1 |          7 |        117 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\DatasetModal.tsx                            | TypeScript JSX     |        128 |          2 |          6 |        136 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\MVC_ComponentAdmin.tsx                      | TypeScript JSX     |        511 |         23 |         28 |        562 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\MetricModal.tsx                             | TypeScript JSX     |         86 |          2 |          6 |         94 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\PlantModal.tsx                              | TypeScript JSX     |        122 |          2 |         11 |        135 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\PrimaryStatModal.tsx                        | TypeScript JSX     |         82 |          1 |          6 |         89 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\PrimaryStats.tsx                            | TypeScript JSX     |         99 |          2 |          8 |        109 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\ProductionCapacity.tsx                      | TypeScript JSX     |        196 |          4 |         12 |        212 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\SecondaryStatModal.tsx                      | TypeScript JSX     |         98 |          1 |          7 |        106 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\SecondaryStats.tsx                          | TypeScript JSX     |        100 |          1 |          8 |        109 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\SisterConcernModal.tsx                      | TypeScript JSX     |         93 |          2 |          6 |        101 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\SisterConcerns.tsx                          | TypeScript JSX     |        115 |          1 |          7 |        123 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\UnitModal.tsx                               | TypeScript JSX     |         69 |          2 |          6 |         77 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\About\Units.tsx                                   | TypeScript JSX     |        199 |          1 |          9 |        209 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\ExploreHeader.tsx     | TypeScript JSX     |        326 |         19 |         26 |        371 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\HeaderFormModal.tsx   | TypeScript JSX     |        318 |         10 |         22 |        350 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\ImageManagerModal.tsx | TypeScript JSX     |        145 |          1 |          8 |        154 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantCard.tsx         | TypeScript JSX     |         51 |          0 |          7 |         58 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantDetailsModal.tsx | TypeScript JSX     |        115 |          3 |         16 |        134 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantForm.tsx         | TypeScript JSX     |        206 |          2 |         17 |        225 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantFormModal.tsx    | TypeScript JSX     |        297 |          2 |         24 |        323 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantImageSlider.tsx  | TypeScript JSX     |         88 |        164 |         19 |        271 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\PlantsTable.tsx       | TypeScript JSX     |        333 |         20 |         32 |        385 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\UnitComponent.tsx     | TypeScript JSX     |        116 |         37 |         19 |        172 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\UnitFormModal.tsx     | TypeScript JSX     |        237 |          2 |         16 |        255 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\ExplorePlantComponent\Admin\UnitsTable.tsx        | TypeScript JSX     |        354 |         30 |         28 |        412 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\CertificationsSection.tsx           | TypeScript JSX     |        336 |          5 |         28 |        369 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\FacilitiesSection.tsx               | TypeScript JSX     |        297 |         11 |         32 |        340 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\HeaderSection.tsx                   | TypeScript JSX     |        127 |          0 |         22 |        149 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\ImageUploader.tsx                   | TypeScript JSX     |        210 |         29 |         27 |        266 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\IntroSection.tsx                    | TypeScript JSX     |        389 |         32 |         32 |        453 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\LabComponents\ServicesSection.tsx                 | TypeScript JSX     |        307 |          9 |         24 |        340 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\AboutCompanyType.ts                         | TypeScript         |        105 |          4 |         11 |        120 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\explorePlants.ts                            | TypeScript         |         56 |          1 |          7 |         64 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\global.d.ts                                 | TypeScript         |          4 |          0 |          2 |          6 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\index.d.ts                                  | TypeScript         |         37 |          0 |          7 |         44 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\labTypes.ts                                 | TypeScript         |         46 |          1 |          7 |         54 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Admin\types\vite-env.d.ts                               | TypeScript         |          0 |          1 |          1 |          2 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\AwardCertification.tsx                                  | TypeScript JSX     |        112 |          4 |         17 |        133 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\BannerHome.tsx                                          | TypeScript JSX     |        178 |         12 |         20 |        210 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\BannerHome2.tsx                                         | TypeScript JSX     |        171 |          8 |         16 |        195 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CanvasCursor.tsx                                        | TypeScript JSX     |          7 |          0 |          5 |         12 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ContactUs.tsx                                           | TypeScript JSX     |        288 |         15 |         24 |        327 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CorePointComponent\CoreComponentModal.tsx               | TypeScript JSX     |        267 |          8 |         27 |        302 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CorePointComponent\CorePointComponent.tsx               | TypeScript JSX     |        164 |          5 |          9 |        178 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\CorePointComponent\Safety.tsx                           | TypeScript JSX     |          0 |          0 |          1 |          1 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\EventsMediaHeader.tsx              | TypeScript JSX     |         14 |          0 |          1 |         15 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\EventsMediaSlider.tsx              | TypeScript JSX     |        152 |          5 |          9 |        166 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\ImageGallerySlider.tsx             | TypeScript JSX     |         85 |          1 |          3 |         89 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\EventsMediaComponent\NewsSlider.tsx                     | TypeScript JSX     |         60 |          1 |          3 |         64 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\ExploreHeader.tsx                 | TypeScript JSX     |         31 |          3 |          6 |         40 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\PlantCard.tsx                     | TypeScript JSX     |        114 |         59 |         17 |        190 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\PlantImageSlider.tsx              | TypeScript JSX     |        165 |        169 |         26 |        360 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\ExplorePlantComponent\UnitComponent.tsx                 | TypeScript JSX     |         46 |          0 |          8 |         54 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\HeroBanner.tsx                                          | TypeScript JSX     |        159 |         16 |         18 |        193 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\HeroBanner2.tsx                                         | TypeScript JSX     |        169 |         24 |         19 |        212 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\LaboratoryComponent.tsx                                 | TypeScript JSX     |          6 |          0 |          2 |          8 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Layout.tsx                                              | TypeScript JSX     |         16 |          1 |          2 |         19 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\LogoMoving.tsx                                          | TypeScript JSX     |         59 |         47 |         14 |        120 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Outlet\Footer.tsx                                       | TypeScript JSX     |         85 |          7 |         11 |        103 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Outlet\Navbar.tsx                                       | TypeScript JSX     |        135 |          7 |         14 |        156 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Outlet\Navbar2.tsx                                      | TypeScript JSX     |         63 |          5 |          6 |         74 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\PageHeaderComponent.tsx                                 | TypeScript JSX     |         93 |          6 |          6 |        105 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\Sidebar.tsx                                             | TypeScript JSX     |        202 |          3 |          8 |        213 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\SidebarMenu.tsx                                         | TypeScript JSX     |         62 |          2 |          5 |         69 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\SmoothFollower.tsx                                      | TypeScript JSX     |         72 |          5 |         21 |         98 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\AboutHero.tsx                                     | TypeScript JSX     |         47 |          0 |          3 |         50 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\CompanyReport.tsx                                 | TypeScript JSX     |        444 |         28 |         30 |        502 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\DIRECTORS.html                                    | HTML               |         92 |          5 |         11 |        108 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\DirectorCard.tsx                                  | TypeScript JSX     |        192 |        123 |         35 |        350 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\DirectorSlider.tsx                                | TypeScript JSX     |        100 |        251 |         34 |        385 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\ImageSlider.tsx                                   | TypeScript JSX     |         78 |          1 |          6 |         85 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\MVC_Component.tsx                                 | TypeScript JSX     |        192 |         13 |         16 |        221 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\MeetTheTeam.tsx                                   | TypeScript JSX     |         51 |          0 |          4 |         55 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\MetricsCounter.tsx                                | TypeScript JSX     |         65 |          1 |          8 |         74 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\MissionValues.tsx                                 | TypeScript JSX     |         47 |          0 |          6 |         53 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\OurCommitment.tsx                                 | TypeScript JSX     |         30 |          1 |          6 |         37 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\OurStory.tsx                                      | TypeScript JSX     |        126 |         22 |         17 |        165 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\about\QualityComponent.tsx                              | TypeScript JSX     |        122 |          6 |          6 |        134 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Components\useCanvasCursor.tsx                                     | TypeScript JSX     |        215 |          3 |         23 |        241 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Context\AuthContext.tsx                                            | TypeScript JSX     |        112 |          2 |         18 |        132 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\ACertificationsPage.tsx                                      | TypeScript JSX     |        172 |          2 |         16 |        190 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\About\AboutPage.tsx                                          | TypeScript JSX     |         73 |         10 |         22 |        105 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\About\CompanyProfile.tsx                                     | TypeScript JSX     |         11 |          0 |          5 |         16 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\About\Laboratory.tsx                                         | TypeScript JSX     |        356 |        432 |         63 |        851 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\About\MVC.tsx                                                | TypeScript JSX     |         13 |          0 |          5 |         18 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\About\Quality.tsx                                            | TypeScript JSX     |          7 |          0 |          2 |          9 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\AdminAbout\AdminAbout.tsx                              | TypeScript JSX     |         14 |          0 |          3 |         17 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\AdminExplorePlants\ExplorePlants.tsx                   | TypeScript JSX     |        175 |          2 |         21 |        198 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\AdminJobs\AdminJobs.tsx                                | TypeScript JSX     |        364 |          2 |         39 |        405 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\Dashboard\Dashboard.tsx                                | TypeScript JSX     |          7 |          0 |          1 |          8 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\DirectorsInfo\Directorsinfo.tsx                        | TypeScript JSX     |        379 |         29 |         25 |        433 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\Laboratory\Laboratory.tsx                              | TypeScript JSX     |         81 |          3 |         19 |        103 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\Laboratory\api.ts                                      | TypeScript         |         10 |          1 |          1 |         12 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\Laboratory\labService.ts                               | TypeScript         |         44 |          5 |         10 |         59 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\Laboratory\useLabApi.ts                                | TypeScript         |        134 |         11 |         26 |        171 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Admin\Login\Login.tsx                                        | TypeScript JSX     |        152 |          2 |         10 |        164 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Contact_Us.tsx                                               | TypeScript JSX     |          9 |          0 |          3 |         12 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\EventsMedia\EventsMedia.tsx                                  | TypeScript JSX     |         11 |          9 |          4 |         24 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\ExplorePlants\ExplorePlants.tsx                              | TypeScript JSX     |         21 |          1 |          5 |         27 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\ExplorePlants\PlantDetails.tsx                               | TypeScript JSX     |          0 |        202 |         16 |        218 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\ExplorePlants\PlantDetailsModal.tsx                          | TypeScript JSX     |        295 |         24 |         23 |        342 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\Home.tsx                                                     | TypeScript JSX     |         37 |          9 |         14 |         60 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Pages\JoinWithUse.tsx                                              | TypeScript JSX     |        236 |          3 |         22 |        261 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Routes\AdminLayout.tsx                                             | TypeScript JSX     |         12 |          2 |          2 |         16 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\Routes\AdminPrivateRoute.tsx                                       | TypeScript JSX     |         25 |          1 |          5 |         31 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\assets\fonts\icomoon.svg                                           | XML                |        106 |          0 |          0 |        106 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\assets\react.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\custom.d.ts                                                        | TypeScript         |         12 |          3 |          1 |         16 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useAbouthero.ts                                              | TypeScript         |         49 |          1 |          8 |         58 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useApiData.ts                                                | TypeScript         |         49 |         60 |         24 |        133 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useExplorePlantsHooks.ts                                     | TypeScript         |         65 |         16 |         10 |         91 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\hooks\useLabApi.tsx                                                | TypeScript JSX     |         82 |          3 |          7 |         92 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\index.css                                                          | PostCSS            |         49 |          8 |         13 |         70 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\main.tsx                                                           | TypeScript JSX     |          9 |          0 |          2 |         11 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\types\about.ts                                                     | TypeScript         |         53 |          0 |          4 |         57 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\types\global.d.ts                                                  | TypeScript         |          8 |          1 |          1 |         10 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\types\types.ts                                                     | TypeScript         |         42 |          7 |          4 |         53 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\src\vite-env.d.ts                                                      | TypeScript         |          0 |          1 |          1 |          2 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\tsconfig.app.json                                                      | JSON               |         32 |         31 |          5 |         68 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\tsconfig.json                                                          | JSON with Comments |          7 |          0 |          1 |          8 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\tsconfig.node.json                                                     | JSON               |         21 |          2 |          3 |         26 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\use-mouse.tsx                                                          | TypeScript JSX     |         49 |          0 |         10 |         59 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\utils.tsx                                                              | TypeScript JSX     |          5 |          0 |          1 |          6 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\vercel.json                                                            | JSON               |          5 |          0 |          1 |          6 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\vite.config.ts                                                         | TypeScript         |          6 |          1 |          2 |          9 |
| d:\TusukaReact\TusukaWebsiteCLientOfficial\vite.svg                                                               | XML                |          0 |          0 |          1 |          1 |
| Total                                                                                                             |                    |     23,028 |      2,313 |      1,751 |     27,092 |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
